# Bloques y mallas de herramientas/MedirChunks.java: semilla 12345, 5 × 5 chunks alrededor de (0, 0).
# Sirve para comprobar que una optimización no cambia el mundo: la herramienta compara lo que sale con esto.
# chunkX chunkZ hashBloques floatsOpaca hashOpaca floatsTransparente hashTransparente
-2 -2 207165841e003d93 1126320 6dbbcc1b2396f0f9 12600 7a0fed0867ed04e5
-2 -1 0dba1ec64bd0a70b 1038420 9cbf3e9eeba5058a 10860 869008c574f0aa1c
-2 0 f543bac3f76d0cd1 1113090 9f0a32a5ad02dd56 10470 3685cdc6e082ed79
-2 1 5cde738ead7c972a 1025430 3a66cf5685dfa432 4170 c8062f8e8c8255e6
-2 2 1d1aa2e317864703 1049490 0f0d898c566b0249 14040 897f550dec0d45e6
-1 -2 f7a9206c35440d1f 1063080 cabcb33e443fccf3 11670 8911030c65661af6
-1 -1 f76ca7fcbe63cdb9 890940 8f756a5e96dca99d 33330 6c2f5a483933a9fb
-1 0 c9f74a7536890ca7 1031850 c027a7cd538d5579 16410 47e6d540529b8a67
-1 1 bc973fc0c5a88bf6 1104600 40158fc8abd1a874 0 e3b0c44298fc1c14
-1 2 25476f6536d457e4 1361430 19d0219ba6fdc745 1710 dfcf0812ce1b9484
0 -2 cba408445896410b 1167960 448211176ced6ca0 0 e3b0c44298fc1c14
0 -1 6a17ec419f624aef 1098750 ef88e9f94759f091 0 e3b0c44298fc1c14
0 0 ad9da0b79fc8712f 929100 bcf94e9f4b1eecc5 8130 58e2e514da4f8d0e
0 1 725d895afb2b5a45 999600 6abfbf4343b0853f 9420 e8d32aa819ca1207
0 2 985827e906377fa3 1000350 341ca02f8f82e04a 12420 8ee2adef1c3e14a6
1 -2 c3695fae9d6abb28 1177080 0580c4a225838660 7230 e353e91a2baf0a3e
1 -1 4f00802152a32be8 1226370 5eba38b2ca3d2961 0 e3b0c44298fc1c14
1 0 7b27fd054bdaf6b0 1002660 8d4a869378ec53e3 8100 1601cddcc32aed80
1 1 666737c6fdfdc95a 1009980 79b3f558c2e7568c 21450 2520acc35407a126
1 2 956912bf4ff22ee1 991650 034b4731acddd36e 24810 a38483844a2f2e56
2 -2 4cb84c48b13f7807 987930 2e64e9d2c9daaed1 6390 1c8a546e08e6c6b7
2 -1 f98327af060427c2 945120 8c5d9aa6bd09dfd4 21060 cdf2fb8c78582c01
2 0 fa3916a21cbc73b7 1183800 2a01fa194fe1a246 3210 3a78aa57383c412c
2 1 30abe88ed7499e6d 1202190 2c4f4db5968d54df 0 e3b0c44298fc1c14
2 2 79b79b813c7585c2 1129530 c3b3c032a5982a22 8820 e5ee2091c53d6541
